0.255,77.3
0.26,64.4
0.265,63.3
0.27,62.9
0.275,63.5
0.28,63.1
0.285,63.5
0.29,63.4
0.295,63.6
0.3,63.4
0.305,63.9
0.31,63.8
0.315,63.6
0.32,63.2
0.325,63.5
0.33,64.0
0.335,63.6
0.34,64.3
0.345,63.5
0.35,64.8
0.355,64.2
0.36,64.7
0.365,64.8
0.37,65.0
0.375,65.7
0.38,64.9
0.385,65.1
0.39,66.2
0.395,65.9
0.4,66.1
0.405,66.5
0.41,67.2
0.415,68.8
0.42,66.3
0.425,66.0
0.43,66.3
0.435,66.6
0.44,66.8
0.445,67.3
0.45,67.1
0.455,68.2
0.46,69.2
0.465,69.2
0.47,70.2
0.475,67.1
0.48,66.7
0.485,67.9
0.49,67.4
0.495,69.7
0.5,69.0
