0.255,79.1
0.26,65.2
0.265,63.6
0.27,63.7
0.275,63.7
0.28,63.3
0.285,63.7
0.29,63.3
0.295,63.6
0.3,63.8
0.305,64.5
0.31,67.6
0.315,64.0
0.32,64.4
0.325,65.7
0.33,64.2
0.335,64.3
0.34,65.1
0.345,64.4
0.35,65.5
0.355,63.9
0.36,67.5
0.365,67.3
0.37,66.0
0.375,66.3
0.38,66.1
0.385,66.2
0.39,66.9
0.395,66.9
0.4,67.0
0.405,68.3
0.41,69.0
0.415,66.6
0.42,67.1
0.425,69.1
0.43,68.5
0.435,70.3
0.44,68.0
0.445,68.5
0.45,68.7
0.455,69.0
0.46,70.0
0.465,71.5
0.47,69.7
0.475,67.7
0.48,68.1
0.485,68.7
0.49,68.2
0.495,69.9
0.5,69.7
