0.255,98.8
0.26,83.7
0.265,80.1
0.27,80.4
0.275,80.9
0.28,81.7
0.285,80.7
0.29,80.6
0.295,82.0
0.3,81.1
0.305,81.9
0.31,82.0
0.315,82.2
0.32,82.8
0.325,82.9
0.33,82.9
0.335,81.1
0.34,83.2
0.345,83.2
0.35,83.2
0.355,82.6
0.36,83.2
0.365,82.4
0.37,83.1
0.375,84.6
0.38,84.4
0.385,84.7
0.39,84.8
0.395,84.9
0.4,87.0
0.405,83.5
0.41,81.8
0.415,82.6
0.42,82.0
0.425,82.1
0.43,83.8
0.435,82.6
0.44,82.7
0.445,83.9
0.45,84.0
0.455,84.0
0.46,84.6
0.465,85.4
0.47,86.3
0.475,86.4
0.48,86.5
0.485,86.5
0.49,87.6
0.495,87.8
0.5,88.6
