0.255,98.1
0.26,79.5
0.265,82.4
0.27,79.6
0.275,79.5
0.28,79.7
0.285,80.0
0.29,80.3
0.295,79.7
0.3,79.8
0.305,80.6
0.31,79.8
0.315,80.2
0.32,80.5
0.325,80.1
0.33,80.4
0.335,80.9
0.34,81.2
0.345,82.1
0.35,82.1
0.355,82.4
0.36,82.0
0.365,82.1
0.37,82.4
0.375,82.4
0.38,82.9
0.385,82.9
0.39,84.6
0.395,84.9
0.4,87.2
0.405,84.9
0.41,82.8
0.415,81.7
0.42,82.7
0.425,82.7
0.43,82.0
0.435,83.7
0.44,83.3
0.445,83.2
0.45,83.7
0.455,84.9
0.46,84.7
0.465,85.6
0.47,85.4
0.475,85.9
0.48,87.4
0.485,86.5
0.49,87.5
0.495,88.0
0.5,87.2
