0.255,74.8
0.26,63.8
0.265,63.1
0.27,63.1
0.275,63.1
0.28,63.1
0.285,63.8
0.29,63.3
0.295,63.4
0.3,82.7
0.305,114.3
0.31,84.8
0.315,65.4
0.32,65.0
0.325,64.2
0.33,63.5
0.335,63.7
0.34,64.6
0.345,63.5
0.35,64.3
0.355,63.4
0.36,64.7
0.365,65.4
0.37,65.0
0.375,65.6
0.38,65.6
0.385,65.1
0.39,66.3
0.395,66.3
0.4,66.4
0.405,67.3
0.41,67.8
0.415,68.1
0.42,66.7
0.425,66.8
0.43,66.2
0.435,66.7
0.44,67.3
0.445,66.7
0.45,67.5
0.455,68.3
0.46,69.6
0.465,69.7
0.47,69.1
0.475,67.4
0.48,66.9
0.485,67.8
0.49,68.3
0.495,68.1
0.5,67.5
