0.255,60.8
0.26,48.0
0.265,47.0
0.27,46.9
0.275,47.8
0.28,48.9
0.285,48.8
0.29,48.1
0.295,48.2
0.3,47.9
0.305,48.4
0.31,48.2
0.315,47.8
0.32,48.3
0.325,49.7
0.33,49.1
0.335,48.7
0.34,48.4
0.345,48.2
0.35,48.7
0.355,49.1
0.36,48.4
0.365,48.7
0.37,48.5
0.375,49.1
0.38,49.2
0.385,49.6
0.39,49.6
0.395,49.2
0.4,49.8
0.405,50.6
0.41,50.5
0.415,50.3
0.42,49.4
0.425,48.9
0.43,49.2
0.435,49.1
0.44,49.4
0.445,50.8
0.45,50.1
0.455,51.4
0.46,51.0
0.465,50.2
0.47,53.6
0.475,51.9
0.48,52.7
0.485,52.3
0.49,53.3
0.495,52.5
0.5,53.6
